Rk,School,Conf,ConfStr,AdjEM,AdjO,SDO,AdjD,SDD,AdjT,SDP,Record,Home,Neutral,Away,Q1,Q2,Q3,Q4
32.0,Kansas,Big 12,10.754673828542224,13.790898389226854,106.02198971521017,14.877544006516196,92.23109132598331,18.91858166919393,75.24181163768466,18.91858166919393,[28-8],[15-1],[6-3],[7-4],[7-6],[9-2],[8-0],[4-0]
33.0,Virginia Commonwealth,A-10,2.5930691894415645,13.785270357968542,104.0712170472432,13.107092559812429,90.28594668927465,18.707867675207325,70.66726068862468,18.707867675207325,[27-8],[15-3],[4-2],[8-3],[2-2],[3-2],[14-2],[8-2]
34.0,Indiana,Big Ten,8.724533341990082,13.76191175879572,108.11953339094902,14.489981543082859,94.3576216321533,18.027210146163483,71.7912587990491,18.027210146163483,[23-12],[15-2],[3-3],[5-7],[6-9],[5-3],[4-0],[8-0]
35.0,Baylor,Big 12,10.754673828542224,13.700725290311638,111.08910879205615,14.376690979964094,97.38838350174451,18.438941037001637,73.3493909105157,18.438941037001637,[23-11],[14-3],[4-3],[5-5],[5-8],[5-3],[7-0],[6-0]
36.0,Rutgers,Big Ten,8.724533341990082,13.664454591424075,100.93688667498375,13.894171431894048,87.27243208355968,17.86586015918951,69.38447307899798,17.86586015918951,[18-15],[13-6],[1-2],[4-7],[3-6],[7-4],[3-3],[5-2]
37.0,Xavier,Big East,7.535675277249311,13.577939458312002,110.98110987194778,12.58157583395548,97.40317041363578,16.526593649069834,75.12776586542905,16.526593649069834,[27-10],[15-2],[5-4],[7-4],[7-6],[6-1],[5-2],[9-1]
38.0,Toledo,MAC,0.41303669242816454,13.549281577140306,117.51557485092043,14.166461571172752,103.96629327378012,19.27451605127595,71.09346121449796,19.27451605127595,[27-8],[12-1],[5-3],[10-4],[4-3],[3-1],[6-2],[14-2]
39.0,Dayton,A-10,2.5930691894415645,13.418995641284639,107.49361740812725,16.122043478437668,94.07462176684261,21.163493397075236,66.00677132535661,21.163493397075236,[22-12],[14-2],[3-4],[5-6],[1-3],[1-4],[9-4],[11-1]
40.0,Memphis,AAC,5.503526353345421,13.34953845097239,107.25357021829927,10.83767518925354,93.90403176732688,16.148917475637,77.76255642614099,16.148917475637,[26-9],[13-2],[6-2],[7-5],[3-5],[6-2],[7-2],[10-0]
41.0,Furman,Southern,0.607138182247013,13.281215856026606,113.69116270951658,12.99536456068611,100.40994685348997,18.19000574785203,67.86949597541845,18.19000574785203,[25-8],[11-2],[6-3],[8-3],[2-2],[2-2],[10-2],[11-2]
42.0,Cincinnati,AAC,5.503526353345421,13.201247230946038,107.63249022058737,16.20365563622273,94.43124298964133,19.752696209866006,73.30346509458057,19.752696209866006,[22-13],[15-3],[2-3],[5-7],[2-6],[3-5],[6-2],[11-0]
43.0,Central Florida,AAC,5.503526353345421,13.088782111260358,106.3356137628071,16.025530304666095,93.24683165154674,19.649532556220137,69.90579808081662,19.649532556220137,[19-15],[11-6],[3-2],[5-7],[0-6],[5-4],[4-3],[10-2]
44.0,Clemson,ACC,6.458574349571919,12.95031379007969,108.77198114448508,16.13299651930197,95.82166735440539,20.112338895477247,67.3136239190342,20.112338895477247,[23-11],[15-2],[3-3],[5-6],[6-4],[2-2],[5-1],[10-4]
45.0,Kentucky,SEC,6.977958743424949,12.827801767832696,110.04838241241565,17.21006960255957,97.22058064458295,21.04976310049648,69.96630337768902,21.04976310049648,[22-12],[14-4],[2-4],[6-4],[4-3],[6-5],[4-3],[8-1]
46.0,Bradley,MVC,0.7463188532381935,12.65088565559482,106.1614148168719,16.56175738335342,93.51052916127708,20.725762309522608,68.45148139703733,20.725762309522608,[24-10],[14-1],[2-3],[8-6],[2-5],[3-3],[6-1],[13-1]
47.0,North Carolina,ACC,6.458574349571919,12.480452185704536,106.4185785671539,13.504686471963145,93.93812638144936,16.30160083166932,73.10573266658352,16.30160083166932,[20-13],[12-3],[4-3],[4-7],[3-11],[5-2],[4-0],[8-0]
48.0,Illinois,Big Ten,8.724533341990082,12.167718317437306,104.77147544760534,11.538843676454183,92.60375713016803,16.230888283565008,72.56588330190756,16.230888283565008,[20-13],[15-2],[2-4],[3-7],[2-7],[4-6],[5-0],[9-0]
49.0,Iowa State,Big 12,10.754673828542224,12.00276734992704,101.89290774972554,15.604751831772562,89.8901403997985,17.9660476564397,68.7883581734304,17.9660476564397,[19-14],[13-3],[3-3],[3-8],[5-7],[4-5],[4-2],[6-0]
50.0,Youngstown State,Horizon,-1.4172126408616066,11.92826039689389,114.12855780992248,14.48566309721038,102.2002974130286,19.17907235064858,68.76052553677636,19.17907235064858,[22-10],[12-3],[1-1],[9-6],[0-0],[1-3],[9-6],[12-1]
51.0,TCU,Big 12,10.754673828542224,11.878852769063556,105.31453927936063,13.08276210783418,93.43568651029707,17.457586094283062,74.51620088371803,17.457586094283062,[22-13],[13-4],[6-2],[3-7],[3-6],[7-5],[4-2],[8-0]
